CO_count,CO_mean,CO_median,CO_stdDev,month,year,zone,date,season
2100,30.4182903994216,30.3018822842607,1.7095295895484,7.0,2022.0,Siwalik,2022-07-01,Monsoon
2100,31.925492398466897,31.7679720579154,1.7475290213211,8.0,2022.0,Siwalik,2022-08-01,Monsoon
2100,33.866517636782795,33.843889580867895,2.1982739395996997,9.0,2022.0,Siwalik,2022-09-01,Monsoon
2100,28.7542390421619,28.7782293211108,2.21890349445,10.0,2022.0,Siwalik,2022-10-01,Post-monsoon
2100,31.616578190078904,31.5504117074751,3.1766379292378,11.0,2022.0,Siwalik,2022-11-01,Post-monsoon
2100,31.792295748792604,31.7930688504291,3.2922288627049996,12.0,2022.0,Siwalik,2022-12-01,Winter
2100,33.0978511758896,32.783957635819,4.1556729280674,1.0,2023.0,Siwalik,2023-01-01,Winter
2100,37.182655026183895,37.1501491974436,4.3983507278624,2.0,2023.0,Siwalik,2023-02-01,Winter
2100,38.1871953805039,38.0129049880956,4.9625736364254,3.0,2023.0,Siwalik,2023-03-01,Pre-monsoon
2100,42.622212337643305,42.1051684876886,7.0214920021347,4.0,2023.0,Siwalik,2023-04-01,Pre-monsoon
2100,37.8317902487405,37.8982991863749,2.8985848160463,5.0,2023.0,Siwalik,2023-05-01,Pre-monsoon
2100,34.5175377676751,34.5794469279814,2.2166068702604997,6.0,2023.0,Siwalik,2023-06-01,Monsoon
2100,31.918776041052304,31.822251107166704,1.74555058549,7.0,2023.0,Siwalik,2023-07-01,Monsoon
2100,34.312523497647696,34.266980415230606,1.9449406589384,8.0,2023.0,Siwalik,2023-08-01,Monsoon
2100,34.4302989682971,34.2039471326541,2.1445700028107,9.0,2023.0,Siwalik,2023-09-01,Monsoon
2100,31.664958264002298,31.5268305177918,2.4168175839119996,10.0,2023.0,Siwalik,2023-10-01,Post-monsoon
2100,31.7714151682563,31.671231559043402,2.9959290093499,11.0,2023.0,Siwalik,2023-11-01,Post-monsoon
2100,33.3739789072735,33.2689961153299,3.0914059410601,12.0,2023.0,Siwalik,2023-12-01,Winter
2100,36.8553136196651,36.6817565518142,4.003522677273,1.0,2024.0,Siwalik,2024-01-01,Winter
2100,35.4900125253873,35.3394840937519,3.9650477382865996,2.0,2024.0,Siwalik,2024-02-01,Winter
2100,37.7121991077929,37.6648138912281,4.2400531456766,3.0,2024.0,Siwalik,2024-03-01,Pre-monsoon
2100,52.7679424229692,51.8909609706373,6.6191612698501,4.0,2024.0,Siwalik,2024-04-01,Pre-monsoon
2100,45.6323715128363,45.7172834808782,3.0153608967462002,5.0,2024.0,Siwalik,2024-05-01,Pre-monsoon
2100,42.485989544123996,42.4268733371833,2.7798812293815,6.0,2024.0,Siwalik,2024-06-01,Monsoon
2100,33.3892749824012,33.3527568752123,1.865875758158,7.0,2024.0,Siwalik,2024-07-01,Monsoon
2100,31.9384467196758,31.8898955796618,1.7793745107166001,8.0,2024.0,Siwalik,2024-08-01,Monsoon
2100,33.6146109174932,33.5422085240872,1.8146562385004,9.0,2024.0,Siwalik,2024-09-01,Monsoon
2100,34.6203884816869,34.4812002018875,2.6491018744013997,10.0,2024.0,Siwalik,2024-10-01,Post-monsoon
2100,36.2931560539034,35.9421494786953,3.7059637101439,11.0,2024.0,Siwalik,2024-11-01,Post-monsoon
2100,34.2717234928788,34.239315359304896,3.347804249409,12.0,2024.0,Siwalik,2024-12-01,Winter
2100,36.5826681970384,36.3243087989558,4.3362381778823,1.0,2025.0,Siwalik,2025-01-01,Winter
2100,36.1165527734526,35.8244969705711,4.8048049910568,2.0,2025.0,Siwalik,2025-02-01,Winter
2100,38.199414114902,38.2669566416762,4.5010958819015,3.0,2025.0,Siwalik,2025-03-01,Pre-monsoon
